Director,Movie,Genre,Year,Duration,Tagline
Christopher Nolan,Inception,Sci-Fi,2010,148,Your mind is the scene of the crime.
Steven Spielberg,Jurassic Park,Sci-Fi,1993,127,An adventure 65 million years in the making.
Quentin Tarantino,Pulp Fiction,Crime,1994,154,The classics never go out of style.
James Cameron,Avatar,Sci-Fi,2009,162,Enter the world of Pandora.
Denis Villeneuve,Blade Runner 2049,Sci-Fi,2017,164,Shadows of the past haunt the future.
Ridley Scott,Gladiator,Action,2000,155,What we do in life echoes in eternity.
Bong Joon-ho,Parasite,Thriller,2019,132,Fate brought them together. Truth will tear them apart.
Alfred Hitchcock,Psycho,Horror,1960,109,Everyone has a reason to be afraid.
Peter Jackson,The Fellowship of the Ring,Fantasy,2001,178,One ring to rule them all.
Sofia Coppola,Lost in Translation,Drama,2003,102,There's something special about this place.
Stanley Kubrick,2001 - A Space Odyssey,Sci-Fi,1968,149,The ultimate trip.
Jordan Peele,Get Out,Horror,2017,104,Get out while you can.
Francis Ford Coppola,The Godfather,Crime,1972,175,An offer you can't refuse.
Clint Eastwood,Unforgiven,Western,1992,131,Revenge is a dish best served cold.
Wes Anderson,The Grand Budapest Hotel,Comedy,2014,99,Welcome to the Hotel Mon Plaisir.
David Fincher,Fight Club,Drama,1999,139,How far would you go to protect your family?
Patty Jenkins,Wonder Woman,Action,2017,141,An ancient prophecy. A new hero.
Paul Thomas Anderson,There Will Be Blood,Drama,2007,158,The perfect crime is just the beginning.
George Lucas,Star Wars,Sci-Fi,1977,121,Life is full of surprises.
Joel Coen,Fargo,Crime,1996,98,These streets will make you feel brand new.
David Lynch,Mulholland Drive,Thriller,2001,147,Fantasy is a place where a kid can be a kid.
Alejandro González Iñárritu,Birdman,Comedy,2014,119,Hope is a dangerous thing.
Christopher Nolan,The Dark Knight,Action,2008,152,Feel the fear. Join the fight.
Ron Howard,A Beautiful Mind,Biography,2001,135,"Out of the darkness, hope shines bright."
M. Night Shyamalan,The Sixth Sense,Mystery,1999,107,Sometimes the scariest place to be is in your own head.
Edgar Wright,Baby Driver,Action,2017,113,Who says you can't be a hero?
Spike Lee,Do the Right Thing,Drama,1989,120,Time waits for no one.
Guillermo del Toro,Pan's Labyrinth,Fantasy,2006,118,Nothing is what it seems.
James Wan,The Conjuring,Horror,2013,112,Welcome to the dark side.
